cell,patient,predict
B cells,SUB118148,3741.014346
B cells,SUB118151,2253.541496
B cells,SUB118153,3118.039182
B cells,SUB118155,1519.982815
B cells,SUB118156,2609.204127
B cells,SUB118157,2185.33725
B cells,SUB118158,1982.370007
B cells,SUB118161,2089.523981
B cells,SUB118164,1238.70878
B cells,SUB118167,1852.054147
B cells,SUB118168,3497.031
B cells,SUB118169,0
B cells,SUB118170,6145.294906
B cells,SUB118171,12009.23504
B cells,SUB118174,9984.44433
B cells,SUB118176,2795.582501
B cells,SUB118183,8224.034655
CD14-positive Monocytes,SUB118148,34.05013394
CD14-positive Monocytes,SUB118151,6.992219448
CD14-positive Monocytes,SUB118153,35.08661604
CD14-positive Monocytes,SUB118155,24.80009902
CD14-positive Monocytes,SUB118156,18.54674733
CD14-positive Monocytes,SUB118157,18.09718895
CD14-positive Monocytes,SUB118158,13.92692912
CD14-positive Monocytes,SUB118161,29.17200899
CD14-positive Monocytes,SUB118164,17.02246284
CD14-positive Monocytes,SUB118167,66.82088947
CD14-positive Monocytes,SUB118168,49.89882612
CD14-positive Monocytes,SUB118169,0
CD14-positive Monocytes,SUB118170,53.32080817
CD14-positive Monocytes,SUB118171,41.32726502
CD14-positive Monocytes,SUB118174,48.33379817
CD14-positive Monocytes,SUB118176,110.5100012
CD14-positive Monocytes,SUB118183,15.48850811
CD1c-positive mDCs,SUB118148,150.7995672
CD1c-positive mDCs,SUB118151,155.926289
CD1c-positive mDCs,SUB118153,96.20775858
CD1c-positive mDCs,SUB118155,75.38556936
CD1c-positive mDCs,SUB118156,39.95656586
CD1c-positive mDCs,SUB118157,76.68564208
CD1c-positive mDCs,SUB118158,124.9128139
CD1c-positive mDCs,SUB118161,151.3726046
CD1c-positive mDCs,SUB118164,70.79522097
CD1c-positive mDCs,SUB118167,143.2076637
CD1c-positive mDCs,SUB118168,126.9265012
CD1c-positive mDCs,SUB118169,0
CD1c-positive mDCs,SUB118170,87.98823649
CD1c-positive mDCs,SUB118171,214.5842096
