cell,SUBJECT_ACCESSION,value
CD4+ T cell,SUB122716,5529.602855
CD8+ T cell,SUB122716,1892.827389
cell,SUB122716,14674.55475
helper T cell,SUB122716,2009.428132
monocyte,SUB122716,1828.909988
myeloid dendritic cell,SUB122716,146.4027895
NK cell,SUB122716,626.2341527
non-Th1/Th17  CD4+ T cell,SUB122716,464.3738315
plasmacytoid dendritic cell,SUB122716,85.96762003
T cell,SUB122716,6543.600098
T follicular helper cell,SUB122716,704.2235275
Th1 CD4+ T cell,SUB122716,681.1521528
Th17 CD4+ T cell,SUB122716,441.7378116
CD4+ T cell,SUB122718,4125.923158
CD8+ T cell,SUB122718,2572.210769
cell,SUB122718,14341.17179
helper T cell,SUB122718,1723.91959
monocyte,SUB122718,2192.110016
myeloid dendritic cell,SUB122718,272.6380305
NK cell,SUB122718,2611.745657
non-Th1/Th17  CD4+ T cell,SUB122718,510.7629341
plasmacytoid dendritic cell,SUB122718,192.0189967
T cell,SUB122718,5659.400024
T follicular helper cell,SUB122718,391.9863669
Th1 CD4+ T cell,SUB122718,370.4013641
Th17 CD4+ T cell,SUB122718,504.932751
CD4+ T cell,SUB122719,11417.54809
CD8+ T cell,SUB122719,8148.450789
cell,SUB122719,34793.08137
helper T cell,SUB122719,4233.841192
monocyte,SUB122719,3168.059937
myeloid dendritic cell,SUB122719,394.8631755
NK cell,SUB122719,1980.483126
non-Th1/Th17  CD4+ T cell,SUB122719,1429.219336
plasmacytoid dendritic cell,SUB122719,173.0886854
T cell,SUB122719,15413.7998
T follicular helper cell,SUB122719,1861.465899
Th1 CD4+ T cell,SUB122719,1060.448287
Th17 CD4+ T cell,SUB122719,1738.031705
CD4+ T cell,SUB122722,5692.105366
CD8+ T cell,SUB122722,4400.388742
cell,SUB122722,21726.26772
helper T cell,SUB122722,3484.283636
monocyte,SUB122722,3256.289978
myeloid dendritic cell,SUB122722,271.9582562
NK cell,SUB122722,2468.389559
non-Th1/Th17  CD4+ T cell,SUB122722,467.5646553
plasmacytoid dendritic cell,SUB122722,86.20674452
T cell,SUB122722,8114.799927
T follicular helper cell,SUB122722,1411.927152
Th1 CD4+ T cell,SUB122722,647.0550849
Th17 CD4+ T cell,SUB122722,1231.10051
CD4+ T cell,SUB122723,3837.902124
CD8+ T cell,SUB122723,2479.508708
cell,SUB122723,13104.44179
helper T cell,SUB122723,2187.934675
monocyte,SUB122723,1860.880005
myeloid dendritic cell,SUB122723,142.001776
NK cell,SUB122723,1925.209284
non-Th1/Th17  CD4+ T cell,SUB122723,265.300484
plasmacytoid dendritic cell,SUB122723,46.44846263
T cell,SUB122723,5015.200073
T follicular helper cell,SUB122723,615.8653186
Th1 CD4+ T cell,SUB122723,667.3372468
Th17 CD4+ T cell,SUB122723,332.900101
CD4+ T cell,SUB122724,6860.42918
CD8+ T cell,SUB122724,5215.92063
cell,SUB122724,24461.11831
helper T cell,SUB122724,3204.673305
monocyte,SUB122724,1848.649994
myeloid dendritic cell,SUB122724,228.8945899
NK cell,SUB122724,2576.015088
non-Th1/Th17  CD4+ T cell,SUB122724,722.5369654
plasmacytoid dendritic cell,SUB122724,147.848037
T cell,SUB122724,10053.5
T follicular helper cell,SUB122724,902.1082868
Th1 CD4+ T cell,SUB122724,728.4071564
Th17 CD4+ T cell,SUB122724,930.3513164
CD4+ T cell,SUB122725,4524.326972
CD8+ T cell,SUB122725,2591.752552
cell,SUB122725,17940.40541
helper T cell,SUB122725,2161.022468
monocyte,SUB122725,3208.589966
myeloid dendritic cell,SUB122725,293.7580395
NK cell,SUB122725,4770.038502
non-Th1/Th17  CD4+ T cell,SUB122725,752.9247257
plasmacytoid dendritic cell,SUB122725,257.291994
T cell,SUB122725,6036
T follicular helper cell,SUB122725,890.7049916
Th1 CD4+ T cell,SUB122725,481.2241662
Th17 CD4+ T cell,SUB122725,899.8528395
CD4+ T cell,SUB122728,5518.75756
CD8+ T cell,SUB122728,5759.385618
cell,SUB122728,23272.52982
helper T cell,SUB122728,2570.254103
monocyte,SUB122728,2868.019958
myeloid dendritic cell,SUB122728,225.8025448
NK cell,SUB122728,2237.298895
non-Th1/Th17  CD4+ T cell,SUB122728,730.609321
plasmacytoid dendritic cell,SUB122728,101.7672565
T cell,SUB122728,8707.599854
T follicular helper cell,SUB122728,1070.020164
Th1 CD4+ T cell,SUB122728,840.5777969
Th17 CD4+ T cell,SUB122728,815.523368
CD4+ T cell,SUB122729,7191.944911
CD8+ T cell,SUB122729,5081.015256
cell,SUB122729,26510.38611
helper T cell,SUB122729,4678.051816
monocyte,SUB122729,2679.190033
myeloid dendritic cell,SUB122729,438.8209742
NK cell,SUB122729,1791.410115
non-Th1/Th17  CD4+ T cell,SUB122729,749.1537588
plasmacytoid dendritic cell,SUB122729,104.2274342
T cell,SUB122729,9866.799927
T follicular helper cell,SUB122729,1349.226208
Th1 CD4+ T cell,SUB122729,1302.642226
Th17 CD4+ T cell,SUB122729,1484.666621
CD4+ T cell,SUB122732,3617.000768
CD8+ T cell,SUB122732,7801.109764
cell,SUB122732,15037.60747
helper T cell,SUB122732,2708.386823
monocyte,SUB122732,2070.409973
myeloid dendritic cell,SUB122732,364.8400094
NK cell,SUB122732,1887.278793
non-Th1/Th17  CD4+ T cell,SUB122732,363.7199177
plasmacytoid dendritic cell,SUB122732,77.24490471
T cell,SUB122732,7607.199951
T follicular helper cell,SUB122732,482.1191579
Th1 CD4+ T cell,SUB122732,1635.936083
Th17 CD4+ T cell,SUB122732,301.9268458
CD4+ T cell,SUB122733,5834.128124
CD8+ T cell,SUB122733,7941.327541
cell,SUB122733,26299.59914
helper T cell,SUB122733,1629.26501
monocyte,SUB122733,1670.850006
myeloid dendritic cell,SUB122733,289.8948802
NK cell,SUB122733,1310.123323
non-Th1/Th17  CD4+ T cell,SUB122733,465.4460003
plasmacytoid dendritic cell,SUB122733,87.92255843
T cell,SUB122733,10232.5
T follicular helper cell,SUB122733,958.6246289
Th1 CD4+ T cell,SUB122733,663.9626911
Th17 CD4+ T cell,SUB122733,471.4764117
CD4+ T cell,SUB122734,6057.676607
CD8+ T cell,SUB122734,4200.811879
cell,SUB122734,21889.93603
helper T cell,SUB122734,3689.70308
monocyte,SUB122734,1923.48999
myeloid dendritic cell,SUB122734,204.6687894
NK cell,SUB122734,3428.619166
non-Th1/Th17  CD4+ T cell,SUB122734,1336.881036
plasmacytoid dendritic cell,SUB122734,104.8126788
T cell,SUB122734,8173.799805
T follicular helper cell,SUB122734,1515.177786
Th1 CD4+ T cell,SUB122734,1101.301286
Th17 CD4+ T cell,SUB122734,909.2246211
CD4+ T cell,SUB122735,3388.732596
CD8+ T cell,SUB122735,2044.913698
cell,SUB122735,13101.33537
helper T cell,SUB122735,2523.37513
monocyte,SUB122735,2848.28006
myeloid dendritic cell,SUB122735,219.0130095
NK cell,SUB122735,3126.27028
non-Th1/Th17  CD4+ T cell,SUB122735,365.6361787
plasmacytoid dendritic cell,SUB122735,161.841253
T cell,SUB122735,4128.500061
T follicular helper cell,SUB122735,894.9070662
Th1 CD4+ T cell,SUB122735,1100.196303
Th17 CD4+ T cell,SUB122735,544.6536833
CD4+ T cell,SUB122737,9058.279837
CD8+ T cell,SUB122737,7233.960124
cell,SUB122737,43306.24054
helper T cell,SUB122737,4857.303419
monocyte,SUB122737,2011.130005
myeloid dendritic cell,SUB122737,387.7754979
NK cell,SUB122737,3889.384377
non-Th1/Th17  CD4+ T cell,SUB122737,999.5584097
plasmacytoid dendritic cell,SUB122737,108.5014799
T cell,SUB122737,12796.59985
T follicular helper cell,SUB122737,2557.07983
Th1 CD4+ T cell,SUB122737,1374.712215
Th17 CD4+ T cell,SUB122737,1647.427455
CD4+ T cell,SUB122739,5447.404099
CD8+ T cell,SUB122739,4213.596353
cell,SUB122739,20300.26605
helper T cell,SUB122739,3079.544423
monocyte,SUB122739,2019.910034
myeloid dendritic cell,SUB122739,130.7741983
NK cell,SUB122739,1778.837695
non-Th1/Th17  CD4+ T cell,SUB122739,937.4387246
plasmacytoid dendritic cell,SUB122739,96.4037904
T cell,SUB122739,7813.900024
T follicular helper cell,SUB122739,878.175457
Th1 CD4+ T cell,SUB122739,738.5806983
Th17 CD4+ T cell,SUB122739,993.5339129
CD4+ T cell,SUB122740,5863.693386
CD8+ T cell,SUB122740,4115.176672
cell,SUB122740,19293.51372
helper T cell,SUB122740,3198.128958
monocyte,SUB122740,1891.980011
myeloid dendritic cell,SUB122740,225.1649939
NK cell,SUB122740,912.9007807
non-Th1/Th17  CD4+ T cell,SUB122740,493.9305123
plasmacytoid dendritic cell,SUB122740,66.34286451
