"","ES740463","ES740496","ES740562","ES740637","ES740640","ES740691","ES740706","ES740712","ES740724","ES740772","ES740790","ES740871"
"A1BG",7.53125349223203,11.470861364131,10.6819397153943,14.4691374379265,10.9313027365238,12.7514551127527,11.5274046232784,7.19558436079972,14.3203101707861,10.3281717474902,12.6704631056802,13.3287942385884
"A1BG-AS1",1.52125007662896,1.52178466551596,2.00502531385307,1.99340869093662,2.0291219776558,1.47386061111726,1.3662741875664,0.995590827467579,1.94529754100083,1.70629347222727,3.48784664880103,1.97607006783612
"A1CF",0.0176690574778926,0.0293778470181071,0,0.0320785294825337,0.0337196166655935,0.00908489069006149,0.00484887309926195,0,0.00399694412219914,0.0227084740536212,0.0374591647130753,0.0150932462429745
"A2M",2.34318256082267,9.32347405416706,1.89905394124121,9.80839118854254,4.34908945938539,1.49131974866086,3.31650486981571,1.93452877505546,1.29400211908308,2.01571025927135,1.13058223363662,1.39365811222389
"A2ML1",0.0237110060033821,0.00788472512338968,0.0178368736854685,0.0430478086390122,0.019392885820472,0.0121914764249106,0.0130138983712165,0.0339335105282847,0.0375459168304008,0.0243789241293376,0.0143623875564826,0.040508788057933
"A2MP1",0.218607634477392,1.21157597129003,0.155313961605083,0.892994760871894,0.417190653433147,0.177968853407403,0.439940744766448,0.00869043738244956,0.107145052023023,0.168574214046152,0.231728811728363,0.155615679269148
"A4GALT",0.0757933110304655,0,0.633515327045924,0.244629834124098,0.11020487665777,0.155882439481823,0.0831990381873958,0.662872298675914,0.594371062860295,0.0519522278348837,0.229550131076956,0.226604326764218
"AAAS",22.3267286806105,23.1684416077761,24.0682001608667,21.9182405816485,20.5114892456103,22.2119725141804,22.7351565650659,18.4505596886177,23.6856786335478,21.4701786095208,28.243630572264,24.0468675585371
"AACS",3.9591762354795,4.88631935615402,4.08518047391873,3.96290341098276,4.55980321221982,4.62619213197891,4.52602110681958,3.33581563867257,4.80770326707438,3.7172014982552,5.30899356418391,5.03121092424637
"AADAT",0.0285649762559263,0.0189976744050426,0.0716277598727344,0,0.0934515090446447,0,0.015678023020947,0.0681336142930431,0.0516938106471088,0.0146848132213417,0.0173025665579443,0
"AAGAB",52.9673562075498,65.8451222848704,47.4719642811634,45.2496690273059,43.7655910259408,50.810467560404,50.2433656795381,43.2783466622883,57.6018085688788,41.4848457642404,41.0314183965976,50.0531401658447
"AAK1",23.8432867499926,33.3137675753452,26.2477811213967,38.8508780471486,39.2460790076206,22.6349327472377,35.6102030891465,17.6739467612745,21.6826539438265,29.4586468054067,58.0844714717553,23.5499778963547
"AAMP",138.851030245665,128.415635191697,130.509623644462,112.63240016347,109.718189556812,128.650125977563,107.302339685884,103.158930924045,137.423723039974,115.566115282972,93.172366942202,146.83819088793
"AANAT",1.67236276804466,1.51787541419881,1.20378490316728,2.04795224191298,1.65208917775354,1.57812894553328,2.03014400138589,1.03243282882826,0.943543916275673,1.1328284485035,1.97831896205884,1.176464640189
